,food_name,food_group,food_sub_group,serving_measure,nutrient,Glycemic index_amount,nutrient_unit
0,"Ban mian, noodles only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (334g),Glycemic index,220.44, 
1,Barley water,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (237g),Glycemic index,75.84, 
2,Bergedil,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Piece (49g),Glycemic index,15.68, 
3,"Carrot cake with egg, plain, mashed & fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (350g),Glycemic index,129.5, 
4,Chapati,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (46g),Glycemic index,28.98, 
5,Chasoba,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (275g),Glycemic index,151.25, 
6,Chee cheong fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (101.33g),Glycemic index,71.94, 
7,Cheng tng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (400g),Glycemic index,244, 
8,"Chicken rice, rice only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (295g),Glycemic index,200.6, 
9,Chwee kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (57.33g),Glycemic index,40.7, 
10,Fried spring roll,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),Glycemic index,10.34, 
11,Ipoh hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (449g),Glycemic index,305.32, 
12,Jemput pisang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),Glycemic index,52.44, 
13,Kaya Toast with Butter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (29g),Glycemic index,17.11, 
14,Ketupat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Whole (95g),Glycemic index,67.45, 
15,Kueh sarlat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (54g),Glycemic index,41.04, 
16,Lor mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (540g),Glycemic index,334.8, 
17,Murukku,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),Glycemic index,10.78, 
18,Naan,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (113g),Glycemic index,80.23, 
19,Nasi lemak with fried egg only,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (210g),Glycemic index,144.9, 
20,"Ngoh hiang, meat roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cylindrical Piece/Tube (59g),Glycemic index,24.78, 
21,"Noodles, instant, chicken abalone flavour,with seasoning, cooked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (496g),Glycemic index,143.84, 
22,Pandan chiffon cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (41g),Glycemic index,18.86, 
23,"Paste, black sesame, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (385g),Glycemic index,184.8, 
24,Plain roti prata,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (60g),Glycemic index,40.2, 
25,Pork and chives dumpling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (31g),Glycemic index,8.68, 
26,Potato curry puff,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (107g),Glycemic index,43.87, 
27,Pung kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (107g),Glycemic index,99.51, 
28,Putu mayam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-23cm (104g),Glycemic index,73.84, 
29,Red bean soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (250g),Glycemic index,147.5, 
30,Rice dumpling with meat filling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (185g),Glycemic index,22.2, 
31,"Soon kway, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (72.4g),Glycemic index,48.51, 
32,Thunder Tea Rice with Soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (428g),Glycemic index,273.92, 
33,Vegetable samosa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (68g),Glycemic index,36.04, 
34,Yam rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-rice (11and 1/2 cm) (250g),Glycemic index,197.5, 
