food_name,protein,fat,carb,calories,cholesterol,sodium
> 60FemaleLow0,45.79,20.35,52.33,523.33,66.67,433.33
> 60FemaleModerate0,54.4,24.18,62.17,621.67,66.67,433.33
> 60FemaleActive0,74.67,33.19,85.33,853.33,66.67,433.33
> 60MaleLow0,50.9,22.62,58.17,581.67,66.67,500
> 60MaleModerate0,60.38,26.83,69,690,100,500
> 60MaleActive0,82.83,36.81,94.67,946.67,100,500
> 60FemaleLow1,50.17,22.3,57.33,573.33,66.67,500
> 60FemaleModerate1,59.35,26.38,67.83,678.33,100,500
> 60FemaleActive1,81.67,36.3,93.33,933.33,100,500
> 60MaleLow1,50.17,22.3,57.33,573.33,66.67,433.33
> 60MaleModerate1,59.35,26.38,67.83,678.33,66.67,433.33
> 60MaleActive1,81.67,36.3,93.33,933.33,66.67,433.33
18 - 29FemaleLow0,34.56,15.36,39.5,395,66.67,433.33
18 - 29FemaleModerate0,65.19,28.97,74.5,745,66.67,433.33
18 - 29FemaleActive0,89.54,39.8,102.33,1023.33,66.67,433.33
18 - 29MaleLow0,66.5,29.56,76,760,66.67,500
18 - 29MaleModerate0,78.75,35,90,900,100,500
18 - 29MaleActive0,200,48.22,124,1240,100,500
18 - 29FemaleLow1,63.73,28.32,72.83,728.33,66.67,500
18 - 29FemaleModerate1,75.54,33.57,86.33,863.33,100,500
18 - 29FemaleActive1,103.83,46.15,118.67,1186.67,100,500
18 - 29MaleLow1,63.73,28.32,72.83,728.33,66.67,433.33
18 - 29MaleModerate1,75.54,33.57,86.33,863.33,66.67,433.33
18 - 29MaleActive1,103.83,46.15,118.67,1186.67,66.67,433.33
30 - 50FemaleLow0,36.63,16.28,41.87,418.67,66.67,433.33
30 - 50FemaleModerate0,43.52,19.34,49.73,497.33,66.67,433.33
30 - 50FemaleActive0,59.73,26.55,68.27,682.67,66.67,433.33
30 - 50MaleLow0,40.72,18.1,46.53,465.33,66.67,500
30 - 50MaleModerate0,48.3,21.47,55.2,552,66.67,500
30 - 50MaleActive0,66.27,29.45,75.73,757.33,66.67,500
30 - 50FemaleLow1,40.13,17.84,45.87,458.67,66.67,500
30 - 50FemaleModerate1,47.48,21.1,54.27,542.67,66.67,500
30 - 50FemaleActive1,65.33,29.04,74.67,746.67,66.67,500
30 - 50MaleLow1,40.13,17.84,45.87,458.67,66.67,433.33
30 - 50MaleModerate1,47.48,21.1,54.27,542.67,66.67,433.33
30 - 50MaleActive1,65.33,29.04,74.67,746.67,66.67,433.33
51 - 59FemaleLow0,27.65,12.29,31.6,316,66.67,433.33
51 - 59FemaleModerate0,52.15,23.18,59.6,596,66.67,433.33
51 - 59FemaleActive0,71.63,31.84,81.87,818.67,66.67,433.33
51 - 59MaleLow0,53.2,23.64,60.8,608,66.67,500
51 - 59MaleModerate0,63,28,72,720,66.67,500
51 - 59MaleActive0,86.8,38.58,99.2,992,66.67,500
51 - 59FemaleLow1,50.98,22.66,58.27,582.67,66.67,500
51 - 59FemaleModerate1,60.43,26.86,69.07,690.67,66.67,500
51 - 59FemaleActive1,83.07,36.92,94.93,949.33,66.67,500
51 - 59MaleLow1,50.98,22.66,58.27,582.67,66.67,433.33
51 - 59MaleModerate1,60.43,26.86,69.07,690.67,66.67,433.33
51 - 59MaleActive1,83.07,36.92,94.93,949.33,66.67,433.33
